CONGLOME,VIVIENDA,HOGAR,CODPERSO,GENERO,EDAD,FACTOR_EXPANSION,NIVEL_EDUCATIVO,TIENE_BILLETERA,USA_BILLETERA,TIENE_BILLETERA_ALT_E10,TIENE_BILLETERA_ALT_E6,USA_BILLETERA_ALT_H6,BANCO_PREVIO,FORMAL,OCUPADO,UBIGEO,ESTRATO,DOMINIO,INTERNET_HOGAR,SMARTPHONE,INGHOG2D,GASHOG2D,MIEPERHO,POBREZA,INGRESO_PC,DPTO
11380,175,11,2,2.0,50.0,130.694778442383,4.0,1,0,1.0,1.0,1.0,0,0,1.0,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,3,2.0,19.0,130.694778442383,9.0,0,0,1.0,0.0,1.0,1,0,0.0,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,4,2.0,9.0,130.694778442383,3.0,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,5,,,130.694778442383,,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,6,,,130.694778442383,,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,7,,,130.694778442383,,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,8,,,130.694778442383,,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
15001,3,11,1,1.0,39.0,225.326202392578,8.0,1,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,0,1,56330.26953125,31551.13671875,3,3,18776.756510416668,1
15001,3,11,2,2.0,38.0,225.326202392578,6.0,0,1,1.0,1.0,1.0,1,0,1.0,10101,4,4,0,1,56330.26953125,31551.13671875,3,3,18776.756510416668,1
15001,3,11,3,2.0,7.0,225.326202392578,3.0,0,0,,,,0,0,,10101,4,4,0,1,56330.26953125,31551.13671875,3,3,18776.756510416668,1
15001,24,11,1,2.0,49.0,225.326202392578,5.0,1,0,1.0,0.0,1.0,1,1,1.0,10101,4,4,0,1,18100.767578125,14979.9873046875,2,3,9050.3837890625,1
